title,author,type,view,like,coin,favorite,share,danmaku,pubdate,bvid,arcurl
前8天：穿越罗布泊无人区  第9天：主角突然换人,央视新闻,知识,5006486,697142,16572,33634,27140,19978,1743422419,BV1soZJYUEKd,https://www.bilibili.com/video/BV1soZJYUEKd
震撼世界的72天：巴黎公社为何爆发？又为何失败？【历史调研室71】,历史调研室,知识,2763321,139232,93485,77685,10797,21353,1743419058,BV1BtZJYBE4G,https://www.bilibili.com/video/BV1BtZJYBE4G
我被电视剧片头曲“模仿”了却无能为力,孙熙然,知识,6056686,516041,356171,159783,11833,14920,1743153249,BV1uioXYEE9F,https://www.bilibili.com/video/BV1uioXYEE9F
"为什么中国人对一道菜的最高评价是""下饭""?",赛博食录,知识,2869304,97836,11938,21752,3583,6857,1743397103,BV1w6ZEYrEsb,https://www.bilibili.com/video/BV1w6ZEYrEsb
深度|| 香火之战，车迟国的教皇实验,渤海小吏,知识,1726362,65155,49984,14067,1651,9082,1743562800,BV1twZ4YzEmv,https://www.bilibili.com/video/BV1twZ4YzEmv
为什么人类需要不断吃盐，而动物们却不用？,行者道荣,知识,6383099,92390,3020,29333,833,2223,1743501600,BV1wFZ8YBEt4,https://www.bilibili.com/video/BV1wFZ8YBEt4
垃圾场上的妙妙屋【日本世博会】,队友去质器,知识,3339137,67381,2713,32631,6155,2944,1743403741,BV1EPZEYKEvW,https://www.bilibili.com/video/BV1EPZEYKEvW
快递怎么寄能更便宜？#涨知识 #生活小妙招 #寄快递省钱的技巧,曹老撕测评,知识,1864887,165760,6262,173255,4193,238,1743398058,BV17TZEYPEug,https://www.bilibili.com/video/BV17TZEYPEug
现场实验：黄河边硬地变淤泥，看起来安全却暗藏凶险，千万要警惕！,人民日报,知识,7294540,235876,1909,9764,3207,756,1743508946,BV19oZ8YbEPy,https://www.bilibili.com/video/BV19oZ8YbEPy
【罗翔】张三侮辱骨灰到底犯不犯法？法律人为何这么“抠字眼”？,罗翔说刑法,知识,1426130,164254,8055,9740,1679,29351,1743562800,BV1WVfcYFEiX,https://www.bilibili.com/video/BV1WVfcYFEiX
现场再抽200万美元！马斯克摇摆州大撒币民主党如何对敌？,波士顿圆脸,知识,879437,51625,3077,2835,461,2521,1743419905,BV1YqZJYaE7L,https://www.bilibili.com/video/BV1YqZJYaE7L
乱象丛生？日本老龄消防队能有多奇葩？,世界见闻录,知识,1314548,57850,6356,6982,1207,4605,1743411616,BV1cyZnY2Ehg,https://www.bilibili.com/video/BV1cyZnY2Ehg
“甲亢哥”成都行全程“OMG”【不完整合集】,新华社,知识,1730217,198766,3074,18305,4360,971,1743564430,BV1Y9fwYDEyJ,https://www.bilibili.com/video/BV1Y9fwYDEyJ
「解三角形」常考题型！基础到进阶！,一数,知识,2531602,214317,24523,87178,8889,9988,1743246293,BV1GXZAY7EWe,https://www.bilibili.com/video/BV1GXZAY7EWe
被架空的皇帝能一刀捅死权臣吗,许右史,知识,1275924,69264,1836,8526,685,1749,1743420600,BV1ThZnYxEZi,https://www.bilibili.com/video/BV1ThZnYxEZi
雷军旁边的员工火了，高情商得到雷总赞赏,懂一點人情世故,知识,2459968,94601,1410,10384,717,365,1743330300,BV1P1ZiYwEBC,https://www.bilibili.com/video/BV1P1ZiYwEBC
美国刹不住的贸易逆差，根本原因是什么?,小Lin说,知识,7233424,364376,99376,94774,25921,8986,1743154200,BV1Pho9YrEre,https://www.bilibili.com/video/BV1Pho9YrEre
【十大产业】中国石化产业：最深的道路，最后的顽石（下）,温竣岩,知识,529999,32823,27587,13797,1793,1840,1743413996,BV1tDZJYXEJH,https://www.bilibili.com/video/BV1tDZJYXEJH
马斯克突然辞职，但凡当初看点中国历史，也不至于被犹太人算计而不自知,财才说,知识,1893224,27093,1034,7263,1354,2328,1743514762,BV1e9Z8YhEz3,https://www.bilibili.com/video/BV1e9Z8YhEz3
美国每周向巴拿马投放活苍蝇,多奇探秘,知识,2716614,109768,2567,19659,786,1554,1743315488,BV1YGZqYkEc6,https://www.bilibili.com/video/BV1YGZqYkEc6
在赤壁狂吟《念奴娇·赤壁怀古》，苏轼坑死我了！！,有山先生,知识,1161995,62784,59218,11530,1889,3902,1743498000,BV1gCZbYJEvf,https://www.bilibili.com/video/BV1gCZbYJEvf
如何在人质营救行动中、用“拐弯枪”来扭转不利战局？,白菜和杜比,知识,4728040,20302,4341,118160,76,503,1743213900,BV1QJodYdEWV,https://www.bilibili.com/video/BV1QJodYdEWV
国际人道救援人员加沙遭袭身亡,联合国,知识,941660,203430,22086,16621,5774,24157,1743511200,BV1xgZhYSESr,https://www.bilibili.com/video/BV1xgZhYSESr
