title,author,type,view,like,coin,favorite,share,danmaku,pubdate,bvid,arcurl
给我们的组合起个名！,田一名sir,音乐,14733251,1439015,220930,190575,112358,100581,1743423401,BV17VZpY1ENA,https://www.bilibili.com/video/BV17VZpY1ENA
20世纪美国乡村经典民谣《阳光彩虹小白马》,我太高兴了,音乐,4814768,287344,31594,77914,26696,1465,1743346017,BV1zKZrYAEi8,https://www.bilibili.com/video/BV1zKZrYAEi8
循环歌单|【八方来财】|“【来财の小曲】谁懂憋佬仔出来时的救赎感”,蛋某人音乐,音乐,8906828,54970,12535,335623,1717,5740,1743552000,BV11eZ8Y5EVi,https://www.bilibili.com/video/BV11eZ8Y5EVi
盘点男组合那些神级翻唱，你最喜欢哪个组合呢？,小王音乐盘点,音乐,8512292,41579,8262,282742,371,528,1743427360,BV1DDZHYhE59,https://www.bilibili.com/video/BV1DDZHYhE59
""" 阳 光 唢 呐 小 白 马 """,浑元Rysn,音乐,1547447,103055,7423,9465,3626,900,1743393600,BV1RdZEY8E8T,https://www.bilibili.com/video/BV1RdZEY8E8T
向佐VS药水哥！《剑灵2》双人对决mv《灵帧起手》上线,剑灵2,音乐,906914,34828,6624,8497,2008,229,1743472800,BV1MXZJYpEuN,https://www.bilibili.com/video/BV1MXZJYpEuN
【SMTR25】SMTR25 Introduction film_松河,SMTR25,音乐,1612813,77926,40728,26384,31509,72268,1743508860,BV1t1Z4YgEcM,https://www.bilibili.com/video/BV1t1Z4YgEcM
【AI蚊子】恋爱循环,阮念゜,音乐,924650,162321,5312,45868,109509,28617,1743271475,BV1KRZhYSE98,https://www.bilibili.com/video/BV1KRZhYSE98
中国唢呐硬控甲亢哥20秒！没有人能逃得过一首《通天大道宽又阔》！,民乐也疯狂,音乐,1808688,102672,1162,8361,334,393,1743422986,BV16gZpYmEqW,https://www.bilibili.com/video/BV16gZpYmEqW
他们朝我扔泥巴 我拿泥巴种荷花.,我爱吃派大星,音乐,5119488,300318,17225,132830,37786,23461,1743553200,BV15bZfY3E8B,https://www.bilibili.com/video/BV15bZfY3E8B
tia tia 都需要你爱！#不得不爱,里湘纯子,音乐,1446177,145924,8540,20429,31047,2001,1743432001,BV1e6ZHYMEtS,https://www.bilibili.com/video/BV1e6ZHYMEtS
当我穿越回到小时候遇见小时候的自己时,猫meme剧场ovo,音乐,3413224,11041,1657,75848,20,10,1743340992,BV1vgZrY8Eoo,https://www.bilibili.com/video/BV1vgZrY8Eoo
我们俩吉他弹唱～,屁屁猪ne,音乐,1242980,196035,30661,24977,6481,697,1742974301,BV1S1oeYbEe1,https://www.bilibili.com/video/BV1S1oeYbEe1
今天遇到高手了......,钢琴波波,音乐,5975155,128064,2553,43376,1474,3278,1743254049,BV1eAZAYDEYC,https://www.bilibili.com/video/BV1eAZAYDEYC
盘点2025上半年爆火的9首破亿神曲，很多人听过却不知道歌名!,是青橘啦,音乐,3352746,49666,15930,344345,399,684,1743484863,BV1bdZxYCEXi,https://www.bilibili.com/video/BV1bdZxYCEXi
将鬼畜动机编成曲 居然只需要这几步？,楷智吃饱了,音乐,1361495,99223,3759,13719,810,220,1743408861,BV1FSZnYVE7P,https://www.bilibili.com/video/BV1FSZnYVE7P
声音是从电路板出来的 电路板叫STYLOSETTE 有音色跟效果 就是你链到香蕉上 或者黄瓜上 他也出来这种声 只要物体导电 他就会出声音 物体只是作为一个按键,那边那个g蛋,音乐,3497725,233787,5222,45631,29704,585,1743323282,BV1J6ZzYwEJU,https://www.bilibili.com/video/BV1J6ZzYwEJU
【愚人节直拍团建】以前的不容易，心酸，通过这首歌真的奔向星辰大海了！#黄霄雲 #星辰大海 #黄霄雲广州演唱会,王心凌桔梗花,音乐,1027097,51705,3141,13504,709,211,1743484591,BV1YQZxYjEBX,https://www.bilibili.com/video/BV1YQZxYjEBX
“胜利之舞”是啥？短短几天播放43亿，网友：太魔性！,Da圣音乐,音乐,8314327,69447,7226,189400,1300,2955,1743154200,BV1oko9YAE9C,https://www.bilibili.com/video/BV1oko9YAE9C
一边打BBOX 一边吃纳豆,BBoxer酋长,音乐,945006,95038,17480,9527,11701,2367,1743500871,BV12uZbYkEo5,https://www.bilibili.com/video/BV12uZbYkEo5
周杰伦暗黑系风格歌曲，你都听过那几首,音乐分享君-,音乐,1225267,25057,6852,172666,9,14,1743250956,BV1ptZAYeE31,https://www.bilibili.com/video/BV1ptZAYeE31
"循环歌单 |【牵丝线】""你枯我不曾萎""",音符拾光阁,音乐,423186,8913,2125,57283,17,184,1743292800,BV17RZaYzEJx,https://www.bilibili.com/video/BV17RZaYzEJx
Ruby让我爱上了JENNIE，首专即神专！万字乐评JENNIE新专Ruby，又来一枚KPOP年专预备役！,X1AOKA1God小凯,音乐,2695186,47915,21199,30685,2081,6505,1743426000,BV1mXZJYHE4u,https://www.bilibili.com/video/BV1mXZJYHE4u
第二十九章：恶魔地球！,勿念火柴人,音乐,1043791,974,243,12352,1,0,1743388354,BV1t8ZCYsECf,https://www.bilibili.com/video/BV1t8ZCYsECf
“百年一遇的模仿奇才”,符尓摩斯R7,音乐,1067011,131207,4168,25842,1861,607,1743325303,BV1WvZzYvEHi,https://www.bilibili.com/video/BV1WvZzYvEHi
[emo神曲合集]“如果忧郁是种天赋”,挽风丶Sama,音乐,3611373,42006,15544,248660,212,332,1743441044,BV1ngZsYxECt,https://www.bilibili.com/video/BV1ngZsYxECt
一口气带你听完爆火全网的十二首人物进行曲，你更喜欢哪一首呢？,多巴胺音乐FM,音乐,1661755,9293,1137,66747,19,42,1743416167,BV1nKZnYkELV,https://www.bilibili.com/video/BV1nKZnYkELV
【邓紫棋的VLOG】I AM GLORIA世界巡玩 之 洛杉矶 & 拉斯维加斯篇,GEM鄧紫棋,音乐,527617,35076,21961,13308,3466,4964,1743566400,BV1C3fcYhEb6,https://www.bilibili.com/video/BV1C3fcYhEb6
陶喆新專輯❗️這次是真的,陶喆的音乐产房,音乐,453808,17672,5185,2476,4100,599,1743472800,BV1EuZnY6EP7,https://www.bilibili.com/video/BV1EuZnY6EP7
真 ·《在真实和荒诞之间起舞》官方MV,蒲熠星,音乐,163201,33828,20584,10299,1649,1334,1743480000,BV1uxZnYfEgo,https://www.bilibili.com/video/BV1uxZnYfEgo
国外声乐老师对比 张国荣 梅艳芳 陈慧娴 周深 近藤真彦《千千阙歌/夕阳之歌》舞台 REACTION,JKAI杰凯,音乐,647939,19486,12247,3638,1584,12800,1743480000,BV1S2ZkY9EA6,https://www.bilibili.com/video/BV1S2ZkY9EA6
开播20年依旧无法超越！中国仙侠配乐天花板什么水平？｜仙剑奇侠传1｜麦振鸿｜胡歌,布陆,音乐,1089913,29367,13915,11189,2504,7377,1743472432,BV1ihZJYiEAu,https://www.bilibili.com/video/BV1ihZJYiEAu
初中生超爽翻唱！《逃！》好听到爆！！！（b站看我这么辛苦的份上给我点流量吧！！！）,一只小阿笑吖,音乐,1299654,114609,26130,65625,3135,1845,1743206485,BV1FKoZY5EZw,https://www.bilibili.com/video/BV1FKoZY5EZw
求求你，别再刀了！B站陈奕迅《跳楼机》真.粤语版,不是词神,音乐,11134870,514120,387396,317119,169014,4535,1742560200,BV1daXrY2EPt,https://www.bilibili.com/video/BV1daXrY2EPt
我感觉我在家里直接当起了海盗,赵赵violin,音乐,1012780,122687,3801,39858,1694,1052,1743327397,BV1hLZzYEEi3,https://www.bilibili.com/video/BV1hLZzYEEi3
【洛天依原创】我是初音未来,WOVOP,音乐,2198541,153652,24593,86327,27250,1066,1743465600,BV1MmZ6YjEDT,https://www.bilibili.com/video/BV1MmZ6YjEDT
我为苏瀑零下二十八度的冬天写了一首歌（已上线，名叫28below,Maggie_桃,音乐,1317303,223929,18400,54413,3821,237,1743225937,BV12kZwYNE8V,https://www.bilibili.com/video/BV12kZwYNE8V
【单曲循环】“宿命感の小曲”《山海皆可平》,KG音乐,音乐,484146,10379,2386,93854,61,13,1743242370,BV1f7ZPYFEPU,https://www.bilibili.com/video/BV1f7ZPYFEPU
八番站台 一命速通一镜到底,上官龍輝,音乐,844409,26315,1854,14999,79,189,1743331193,BV12sZzYGER9,https://www.bilibili.com/video/BV12sZzYGER9
超超超超级讨厌HANA的中文填词！【初音×重音】【雨良 Amala】,没有花香的HANA,音乐,716420,58631,6902,30388,2336,4349,1743494400,BV1aYZ4YEEZs,https://www.bilibili.com/video/BV1aYZ4YEEZs
猜歌大会【第200弹】,方块识曲,音乐,514162,85774,10603,23377,3500,2426,1743300672,BV1H8ZvYpEdw,https://www.bilibili.com/video/BV1H8ZvYpEdw
