title,author,type,view,like,coin,favorite,share,danmaku,pubdate,bvid,arcurl
90后这辈子第一次接受到的鼓励式教育,红豆稀饭中,鬼畜,5771304,889196,191378,242969,21125,2920,1743411600,BV1nwZEYqE2B,https://www.bilibili.com/video/BV1nwZEYqE2B
《晓艳天气预报》,张飞的小迷弟,鬼畜,1558673,197498,32837,55567,55772,1101,1743405968,BV1ArZnYUE9a,https://www.bilibili.com/video/BV1ArZnYUE9a
“那一天我终于参悟，什么是功夫”,卡拉肖克金,鬼畜,2848783,167253,15885,22362,2411,381,1743397159,BV1vVZEYFEDq,https://www.bilibili.com/video/BV1vVZEYFEDq
鬼知道甲亢哥看了几遍,怠惰的一休,鬼畜,4515719,422062,107680,126571,21367,7519,1743502403,BV1vDZtYRE6d,https://www.bilibili.com/video/BV1vDZtYRE6d
二郎显圣真君：回答我！,伊介书生,鬼畜,920365,60921,26450,14183,5253,1198,1743438794,BV1tZZWYeERt,https://www.bilibili.com/video/BV1tZZWYeERt
哈基米：我无怨无悔,法兰西诗歌剧,鬼畜,2311954,167381,45710,80226,51974,489,1743476400,BV1JjZsYHEHE,https://www.bilibili.com/video/BV1JjZsYHEHE
换位思考,对抗路第一人,鬼畜,2513237,235868,5417,23941,30358,1862,1743430737,BV1ZhZHY5EDQ,https://www.bilibili.com/video/BV1ZhZHY5EDQ
⚡甲 亢 分 你 一 半⚡,自动鬼畜中的WZ,鬼畜,1496571,52326,4684,7756,2314,216,1743479100,BV1wyZnY2E1R,https://www.bilibili.com/video/BV1wyZnY2E1R
⚡中 美 往 事⚡,快乐阿依,鬼畜,3821202,186421,23279,37774,27657,1292,1743219468,BV1QWZFYzEBd,https://www.bilibili.com/video/BV1QWZFYzEBd
⚡️ 甲 亢 彩 虹 小 白 马 ⚡️,哦呼w,鬼畜,4511611,331683,61900,64762,19749,1648,1743225571,BV1yCZwYeE8H,https://www.bilibili.com/video/BV1yCZwYeE8H
⚡我自己剪的时候也没绷住⚡,CD怪杰,鬼畜,1197889,236034,59197,49639,8116,33032,1743154474,BV141oXYGE6J,https://www.bilibili.com/video/BV141oXYGE6J
【哈基米FM】JOJO哈基之风 黑帮摇,65折,鬼畜,1690439,227219,50600,83860,50361,9086,1743170474,BV1VaoRYfEZH,https://www.bilibili.com/video/BV1VaoRYfEZH
“新时代的画面，像旧时代底片”,深夜摆烂者,鬼畜,1964199,287856,118741,80994,5732,4516,1743127200,BV1auZ5YjEmj,https://www.bilibili.com/video/BV1auZ5YjEmj
他们朝我扔粑粑,一根华仔,鬼畜,2525207,170856,7138,28630,12891,726,1743555600,BV1zyZ8YqEFR,https://www.bilibili.com/video/BV1zyZ8YqEFR
警察：证件在这呢！,魔骑墨奇,鬼畜,6013159,219515,6502,38574,5421,724,1743047100,BV1iAZNYbE9m,https://www.bilibili.com/video/BV1iAZNYbE9m
跑操的意义是什么？回答我！,修2,鬼畜,959923,77127,4643,12226,4883,1159,1743393600,BV1c4ZyYjEWs,https://www.bilibili.com/video/BV1c4ZyYjEWs
我自己剪的时候都没绷住,碧天蓝钻,鬼畜,1318985,165262,33998,50531,13112,55943,1743469200,BV1SrZ6YJEe1,https://www.bilibili.com/video/BV1SrZ6YJEe1
